aspect,keyword_matched,sentence,sentiment_score,review_id,product_id,brand
Weight,weight,The weight is mediocre,0.0,RMO5BXXC02DGTF,B4776CE822,Safari
Handle,handle,The handle is even better than my previous bag,0.4404,R94874FRHOCN9J,B4776CE822,Safari
Material,build,Good value and the build quality is top notch,0.7269,R8UT0CVS4F8CGV,B4776CE822,Safari
Durability,build quality,Good value and the build quality is top notch,0.7269,R8UT0CVS4F8CGV,B4776CE822,Safari
Material,material,"The material is okay, nothing extraordinary",0.2263,RLJYLJEXQ77AWU,B4776CE822,Safari
Weight,lightweight,Good value and lightweight,0.6486,RF4ZW9XA3KX7EE,B4776CE822,Safari
Handle,handle,Really impressed with the handle,0.5256,RF4ZW9XA3KX7EE,B4776CE822,Safari
Size & Capacity,fits,Fits all airline requirements,0.0,RHWJR64DPJA1WJ,B4776CE822,Safari
Durability,quality,lock is of great quality,0.6249,RHWJR64DPJA1WJ,B4776CE822,Safari
Lock,lock,lock is of great quality,0.6249,RHWJR64DPJA1WJ,B4776CE822,Safari
Material,material,The material feels durable and the zipper is very smooth,0.0,RTPBN78BMYYMU5,B4776CE822,Safari
Zipper,zipper,The material feels durable and the zipper is very smooth,0.0,RTPBN78BMYYMU5,B4776CE822,Safari
Durability,durable,The material feels durable and the zipper is very smooth,0.0,RTPBN78BMYYMU5,B4776CE822,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RA0L7253J2D54I,B4776CE822,Safari
Material,material,The material deserves special mention,0.4019,RA0L7253J2D54I,B4776CE822,Safari
Durability,quality,Excellent quality,0.5719,R8KXO9T7E8G8JD,B4776CE822,Safari
Weight,lightweight,Lightweight and good value,0.6486,R8KXO9T7E8G8JD,B4776CE822,Safari
Durability,quality,Safari quality is reliable,0.0,R8KXO9T7E8G8JD,B4776CE822,Safari
Size & Capacity,space,Decent space,0.0,RBPS3Y70HP87WX,B4776CE822,Safari
Handle,handle,"However, handle durability",0.0,RBPS3Y70HP87WX,B4776CE822,Safari
Durability,durability,"However, handle durability",0.0,RBPS3Y70HP87WX,B4776CE822,Safari
Weight,weight,The weight could be better,0.4404,RBPS3Y70HP87WX,B4776CE822,Safari
Size & Capacity,space,"Lightweight, decent space, and excellent weight",0.5719,RGXN0GUO4KH2VL,B4776CE822,Safari
Weight,lightweight,"Lightweight, decent space, and excellent weight",0.5719,RGXN0GUO4KH2VL,B4776CE822,Safari
Durability,quality,Excellent quality,0.5719,RKXWD8IL3FB9W1,B4776CE822,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RKXWD8IL3FB9W1,B4776CE822,Safari
Material,build,build quality quality is commendable,0.0,RKXWD8IL3FB9W1,B4776CE822,Safari
Durability,build quality,build quality quality is commendable,0.0,RKXWD8IL3FB9W1,B4776CE822,Safari
Durability,quality,Safari quality is reliable,0.0,RY6452H2ZQU7EE,B4776CE822,Safari
Size & Capacity,space,Decent space,0.0,R6P6QF5Q14J1RI,B4776CE822,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,R6P6QF5Q14J1RI,B4776CE822,Safari
Size & Capacity,compartments,compartments quality is commendable,0.0,R6P6QF5Q14J1RI,B4776CE822,Safari
Durability,quality,compartments quality is commendable,0.0,R6P6QF5Q14J1RI,B4776CE822,Safari
Durability,quality,Great quality for the price,0.6249,RTOHP6VZ41NAM1,B78CFEE677,Safari
Size & Capacity,space,Decent space,0.0,RTOHP6VZ41NAM1,B78CFEE677,Safari
Material,material,The material works smoothly,0.0,RTOHP6VZ41NAM1,B78CFEE677,Safari
Material,material,The material is even better than my previous bag,0.4404,RRNY20479T6VXD,B78CFEE677,Safari
Weight,lightweight,Lightweight,0.0,RK8P4Q0B8IC8BB,B78CFEE677,Safari
Material,material,The material is even better than my previous bag,0.4404,RK8P4Q0B8IC8BB,B78CFEE677,Safari
Material,build,"The build quality is good, Good value",0.802,RE8QJNV8Z2FLU7,B78CFEE677,Safari
Durability,build quality,"The build quality is good, Good value",0.802,RE8QJNV8Z2FLU7,B78CFEE677,Safari
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RE8QJNV8Z2FLU7,B78CFEE677,Safari
Zipper,zipper,The zipper is excellent,0.5719,RE8QJNV8Z2FLU7,B78CFEE677,Safari
Zipper,zip quality,zip quality though,0.0,R2UBTXCXAPRPN6,B78CFEE677,Safari
Durability,quality,zip quality though,0.0,R2UBTXCXAPRPN6,B78CFEE677,Safari
Handle,handle,The handle is mediocre,0.0,R2UBTXCXAPRPN6,B78CFEE677,Safari
Size & Capacity,fits,Fits all airline requirements,0.0,R3VLI7KQ1UYMRL,B78CFEE677,Safari
Size & Capacity,space,Decent space,0.0,R3VLI7KQ1UYMRL,B78CFEE677,Safari
Durability,quality,lock is of great quality,0.6249,R3VLI7KQ1UYMRL,B78CFEE677,Safari
Lock,lock,lock is of great quality,0.6249,R3VLI7KQ1UYMRL,B78CFEE677,Safari
Wheels,wheel,Good value but wheel quality,0.3919,RZR1YXR2DHYLUR,B78CFEE677,Safari
Durability,quality,Good value but wheel quality,0.3919,RZR1YXR2DHYLUR,B78CFEE677,Safari
Lock,lock,"The lock is okay, nothing extraordinary",0.2263,RZR1YXR2DHYLUR,B78CFEE677,Safari
Durability,quality,Excellent quality,0.5719,R08YG0JV1V93KM,B420E780CA,Safari
Durability,quality,Great quality for the price,0.6249,R08YG0JV1V93KM,B420E780CA,Safari
Material,material,The material works smoothly,0.0,R08YG0JV1V93KM,B420E780CA,Safari
Size & Capacity,space,"Good value, decent space, and excellent lock",0.8402,RDAKRM8J5ECRUY,B420E780CA,Safari
Lock,lock,"Good value, decent space, and excellent lock",0.8402,RDAKRM8J5ECRUY,B420E780CA,Safari
Durability,quality,Great quality for the price,0.6249,R1V2ISQP49KWV0,B420E780CA,Safari
Lock,lock,The lock works smoothly,0.0,R1V2ISQP49KWV0,B420E780CA,Safari
Handle,handle,Affordable price and the handle is top notch,0.2023,RYQBKK4CIJ2V2H,B420E780CA,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RFL0UKEYZ7SRCB,B420E780CA,Safari
Lock,lock,The lock deserves special mention,0.4019,RFL0UKEYZ7SRCB,B420E780CA,Safari
Weight,lightweight,Lightweight,0.0,R1GSPK9P38QOLD,B420E780CA,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,R1GSPK9P38QOLD,B420E780CA,Safari
Wheels,wheels,wheels quality is commendable,0.0,R1GSPK9P38QOLD,B420E780CA,Safari
Durability,quality,wheels quality is commendable,0.0,R1GSPK9P38QOLD,B420E780CA,Safari
Size & Capacity,space,Decent space and easy to maneuver,0.4404,RQLL8OS9XTOGN1,B420E780CA,Safari
Lock,lock,The lock makes it very convenient to use,0.0,RQLL8OS9XTOGN1,B420E780CA,Safari
Size & Capacity,space,Decent space,0.0,R9VIFTTD96QE3R,B420E780CA,Safari
Lock,lock,The lock is even better than my previous bag,0.4404,R9VIFTTD96QE3R,B420E780CA,Safari
Material,build,The build quality is even better than my previous bag,0.4404,RFGV0EC14M2JA0,B420E780CA,Safari
Durability,build quality,The build quality is even better than my previous bag,0.4404,RFGV0EC14M2JA0,B420E780CA,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RUI1B0Z3NX39RB,B39898F91D,Safari
Size & Capacity,compartments,The compartments deserves special mention,0.4019,RUI1B0Z3NX39RB,B39898F91D,Safari
Size & Capacity,space,Decent space,0.0,R6AF58C2JWOCLY,B39898F91D,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,R6AF58C2JWOCLY,B39898F91D,Safari
Handle,handle,The handle deserves special mention,0.4019,R6AF58C2JWOCLY,B39898F91D,Safari
Size & Capacity,fits,Fits all airline requirements,0.0,RYKID91ZDFKBLC,B39898F91D,Safari
Wheels,wheels,wheels is of great quality,0.6249,RYKID91ZDFKBLC,B39898F91D,Safari
Durability,quality,wheels is of great quality,0.6249,RYKID91ZDFKBLC,B39898F91D,Safari
Durability,quality,Average quality,0.0,RVNYRUIWQY6QKT,B39898F91D,Safari
Handle,handle,"Good value which is nice, but handle durability",0.5499,RVNYRUIWQY6QKT,B39898F91D,Safari
Durability,durability,"Good value which is nice, but handle durability",0.5499,RVNYRUIWQY6QKT,B39898F91D,Safari
Zipper,zip quality,Decent space is great but zip quality is disappointing,-0.4118,R94DNMKZA3OA52,B39898F91D,Safari
Size & Capacity,space,Decent space is great but zip quality is disappointing,-0.4118,R94DNMKZA3OA52,B39898F91D,Safari
Durability,quality,Decent space is great but zip quality is disappointing,-0.4118,R94DNMKZA3OA52,B39898F91D,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RHGJ11YEDWB2BN,B39898F91D,Safari
Durability,quality,lock quality is commendable,0.0,RHGJ11YEDWB2BN,B39898F91D,Safari
Lock,lock,lock quality is commendable,0.0,RHGJ11YEDWB2BN,B39898F91D,Safari
Weight,lightweight,Lightweight,0.0,R63J3R30ME8F84,B39898F91D,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,R63J3R30ME8F84,B39898F91D,Safari
Zipper,zipper,zipper quality is commendable,0.0,R63J3R30ME8F84,B39898F91D,Safari
Durability,quality,zipper quality is commendable,0.0,R63J3R30ME8F84,B39898F91D,Safari
Durability,quality,Great quality for the price,0.6249,RTQYYV37DIA5U6,B39898F91D,Safari
Size & Capacity,space,Decent space,0.0,RTQYYV37DIA5U6,B39898F91D,Safari
Size & Capacity,compartments,The compartments works smoothly,0.0,RTQYYV37DIA5U6,B39898F91D,Safari
Wheels,wheel,"However, wheel quality",0.0,RKRD5EQY08P0FO,B39898F91D,Safari
Durability,quality,"However, wheel quality",0.0,RKRD5EQY08P0FO,B39898F91D,Safari
Weight,weight,The weight could be better,0.4404,RKRD5EQY08P0FO,B39898F91D,Safari
Weight,lightweight,Lightweight and affordable price,0.0,RQIN9N6XCJ883D,B39898F91D,Safari
Lock,lock,The lock is really impressive,0.5563,RQIN9N6XCJ883D,B39898F91D,Safari
Size & Capacity,fits,Fits all airline requirements,0.0,R12VJ99T2D5EM2,B4F9315E17,Safari
Material,material,material is of great quality,0.6249,R12VJ99T2D5EM2,B4F9315E17,Safari
Durability,quality,material is of great quality,0.6249,R12VJ99T2D5EM2,B4F9315E17,Safari
Durability,quality,Excellent quality,0.5719,R0R2SDS8B25SQ8,B4F9315E17,Safari
Wheels,wheels,Decent space and the wheels is top notch,0.2023,R0R2SDS8B25SQ8,B4F9315E17,Safari
Size & Capacity,space,Decent space and the wheels is top notch,0.2023,R0R2SDS8B25SQ8,B4F9315E17,Safari
Durability,quality,Great quality for the price,0.6249,RFEWVZNVKSP2EX,B4F9315E17,Safari
Material,build,The build quality works smoothly,0.0,RFEWVZNVKSP2EX,B4F9315E17,Safari
Durability,build quality,The build quality works smoothly,0.0,RFEWVZNVKSP2EX,B4F9315E17,Safari
Weight,lightweight,Good value and lightweight,0.6486,R3O0LLJ8YRDDP0,B4F9315E17,Safari
Material,build,Really impressed with the build quality,0.5256,R3O0LLJ8YRDDP0,B4F9315E17,Safari
Durability,build quality,Really impressed with the build quality,0.5256,R3O0LLJ8YRDDP0,B4F9315E17,Safari
Size & Capacity,space,Decent space,0.0,R5Z8VMUHXID4N1,B4F9315E17,Safari
Zipper,zip quality,"However, zip quality",0.0,R5Z8VMUHXID4N1,B4F9315E17,Safari
Durability,quality,"However, zip quality",0.0,R5Z8VMUHXID4N1,B4F9315E17,Safari
Size & Capacity,compartments,The compartments could be better,0.4404,R5Z8VMUHXID4N1,B4F9315E17,Safari
Handle,handle,Affordable price is great but handle durability is disappointing,-0.4118,RZLMA5UOFWB0HP,B4F9315E17,Safari
Durability,durability,Affordable price is great but handle durability is disappointing,-0.4118,RZLMA5UOFWB0HP,B4F9315E17,Safari
Handle,handle,Good value but handle durability,0.3919,RYJXRPJ1EPKYRY,B4F9315E17,Safari
Durability,durability,Good value but handle durability,0.3919,RYJXRPJ1EPKYRY,B4F9315E17,Safari
Handle,handle,"The handle is okay, nothing extraordinary",0.2263,RYJXRPJ1EPKYRY,B4F9315E17,Safari
Weight,lightweight,Lightweight and affordable price,0.0,RRPETIUYMO0PQC,B0A318CA95,Safari
Durability,sturdy,Looks premium and feels sturdy,0.0,RRPETIUYMO0PQC,B0A318CA95,Safari
Durability,quality,The lock quality is really good for this price range,0.4927,RRPETIUYMO0PQC,B0A318CA95,Safari
Lock,lock,The lock quality is really good for this price range,0.4927,RRPETIUYMO0PQC,B0A318CA95,Safari
Weight,lightweight,Affordable price and lightweight,0.0,R2W37D4IVSOLML,B0A318CA95,Safari
Durability,quality,Safari quality is reliable,0.0,R2W37D4IVSOLML,B0A318CA95,Safari
Weight,lightweight,Lightweight and good value,0.6486,R8XFDJGF1C8WQU,B0A318CA95,Safari
Material,material,Really impressed with the material,0.5256,R8XFDJGF1C8WQU,B0A318CA95,Safari
Weight,lightweight,Lightweight,0.0,RCPKJCSLQC3C54,B0A318CA95,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RCPKJCSLQC3C54,B0A318CA95,Safari
Size & Capacity,compartments,The compartments deserves special mention,0.4019,RCPKJCSLQC3C54,B0A318CA95,Safari
Wheels,wheels,The wheels is even better than my previous bag,0.4404,RRFCD6MZSGIPPS,B0A318CA95,Safari
Weight,lightweight,Lightweight,0.0,RDYK0X65MUFM8Z,B0A318CA95,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RDYK0X65MUFM8Z,B0A318CA95,Safari
Wheels,wheels,wheels quality is commendable,0.0,RDYK0X65MUFM8Z,B0A318CA95,Safari
Durability,quality,wheels quality is commendable,0.0,RDYK0X65MUFM8Z,B0A318CA95,Safari
Size & Capacity,space,Decent space and lightweight,0.0,R3Y30YSXPNNGH8,B0A318CA95,Safari
Weight,lightweight,Decent space and lightweight,0.0,R3Y30YSXPNNGH8,B0A318CA95,Safari
Durability,sturdy,Looks premium and feels sturdy,0.0,R3Y30YSXPNNGH8,B0A318CA95,Safari
Handle,handle,The handle quality is really good for this price range,0.4927,R3Y30YSXPNNGH8,B0A318CA95,Safari
Durability,quality,The handle quality is really good for this price range,0.4927,R3Y30YSXPNNGH8,B0A318CA95,Safari
Durability,quality,Usable but don't expect premium quality at this price,0.0,RF313FPOYIPK0Q,B84A775390,Safari
Weight,lightweight,Good value and lightweight,0.6486,R89QKNS832EJX5,B84A775390,Safari
Material,build,Really impressed with the build quality,0.5256,R89QKNS832EJX5,B84A775390,Safari
Durability,build quality,Really impressed with the build quality,0.5256,R89QKNS832EJX5,B84A775390,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,R6FP8HQMABSI9N,B84A775390,Safari
Handle,handle,handle quality is commendable,0.0,R6FP8HQMABSI9N,B84A775390,Safari
Durability,quality,handle quality is commendable,0.0,R6FP8HQMABSI9N,B84A775390,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RK3ZEZQACJ4T0S,B84A775390,Safari
Size & Capacity,compartments,compartments quality is commendable,0.0,RK3ZEZQACJ4T0S,B84A775390,Safari
Durability,quality,compartments quality is commendable,0.0,RK3ZEZQACJ4T0S,B84A775390,Safari
Durability,quality,Great quality for the price,0.6249,RTWUZKAMUGYSM8,B84A775390,Safari
Material,build,The build quality works smoothly,0.0,RTWUZKAMUGYSM8,B84A775390,Safari
Durability,build quality,The build quality works smoothly,0.0,RTWUZKAMUGYSM8,B84A775390,Safari
Size & Capacity,space,Decent space and affordable price,0.0,RNN0MCIXDU1EMM,B84A775390,Safari
Durability,quality,Safari quality is reliable,0.0,RNN0MCIXDU1EMM,B84A775390,Safari
Durability,quality,Average quality,0.0,RKBHB7S9TJ1GM2,B84A775390,Safari
Size & Capacity,space,Decent space and lightweight,0.0,R6N9RR7S20CV3T,B84A775390,Safari
Weight,lightweight,Decent space and lightweight,0.0,R6N9RR7S20CV3T,B84A775390,Safari
Durability,quality,Safari quality is reliable,0.0,R6N9RR7S20CV3T,B84A775390,Safari
Size & Capacity,space,Decent space and the weight is top notch,0.2023,RB5M9J98CWN2Y8,B84A775390,Safari
Weight,weight,Decent space and the weight is top notch,0.2023,RB5M9J98CWN2Y8,B84A775390,Safari
Material,build,The build quality is really impressive,0.5563,R2NNUVY8N1UTOX,B84A775390,Safari
Durability,build quality,The build quality is really impressive,0.5563,R2NNUVY8N1UTOX,B84A775390,Safari
Size & Capacity,space,Lightweight and decent space,0.0,RHWY9HECGZ9389,B84A775390,Safari
Weight,lightweight,Lightweight and decent space,0.0,RHWY9HECGZ9389,B84A775390,Safari
Durability,sturdy,Looks premium and feels sturdy,0.0,RHWY9HECGZ9389,B84A775390,Safari
Handle,handle,The handle quality is really good for this price range,0.4927,RHWY9HECGZ9389,B84A775390,Safari
Durability,quality,The handle quality is really good for this price range,0.4927,RHWY9HECGZ9389,B84A775390,Safari
Weight,lightweight,Lightweight and affordable price,0.0,RZZGNI92IRMUQ9,B84A775390,Safari
Lock,lock,Really impressed with the lock,0.5256,RZZGNI92IRMUQ9,B84A775390,Safari
Size & Capacity,space,Decent space,0.0,R9XQYM52XG8P6B,B84A775390,Safari
Wheels,wheel,But I noticed wheel quality after a few uses,0.0,R9XQYM52XG8P6B,B84A775390,Safari
Durability,quality,But I noticed wheel quality after a few uses,0.0,R9XQYM52XG8P6B,B84A775390,Safari
Material,build,The build quality started fine but degraded,-0.5106,R9XQYM52XG8P6B,B84A775390,Safari
Durability,build quality,The build quality started fine but degraded,-0.5106,R9XQYM52XG8P6B,B84A775390,Safari
Size & Capacity,space,Good value and decent space,0.6486,RJWWDXVUGW6M7B,BD6A2E0D06,Safari
Durability,sturdy,Looks premium and feels sturdy,0.0,RJWWDXVUGW6M7B,BD6A2E0D06,Safari
Handle,handle,The handle quality is really good for this price range,0.4927,RJWWDXVUGW6M7B,BD6A2E0D06,Safari
Durability,quality,The handle quality is really good for this price range,0.4927,RJWWDXVUGW6M7B,BD6A2E0D06,Safari
Size & Capacity,space,Decent space,0.0,RB6TXKI3OQYFOQ,BD6A2E0D06,Safari
Size & Capacity,pockets,The interiors are well-organized with multiple pockets,0.0,RB6TXKI3OQYFOQ,BD6A2E0D06,Safari
Material,material,material quality is commendable,0.0,RB6TXKI3OQYFOQ,BD6A2E0D06,Safari
Durability,quality,material quality is commendable,0.0,RB6TXKI3OQYFOQ,BD6A2E0D06,Safari
Durability,quality,Mediocre quality,0.0,RSDIEQFB85P863,BD6A2E0D06,Safari
Handle,handle,Product looks good but handle durability,0.2382,RSDIEQFB85P863,BD6A2E0D06,Safari
Durability,durability,Product looks good but handle durability,0.2382,RSDIEQFB85P863,BD6A2E0D06,Safari
Size & Capacity,space,Decent space saves it somewhat,0.0,RSDIEQFB85P863,BD6A2E0D06,Safari
Durability,quality,Usable but don't expect premium quality at this price,0.0,RSDIEQFB85P863,BD6A2E0D06,Safari
Weight,lightweight,Lightweight,0.0,RDOQIVBKV4YKAD,BD6A2E0D06,Safari
Material,build,The build quality is even better than my previous bag,0.4404,RDOQIVBKV4YKAD,BD6A2E0D06,Safari
Durability,build quality,The build quality is even better than my previous bag,0.4404,RDOQIVBKV4YKAD,BD6A2E0D06,Safari
Weight,weight,The weight impressed me the most,0.4767,RUHTCS1K9YE9O2,BD6A2E0D06,Safari
Material,material,The material feels durable and the weight is very smooth,0.0,RELRQVSLWF90KM,BD6A2E0D06,Safari
Durability,durable,The material feels durable and the weight is very smooth,0.0,RELRQVSLWF90KM,BD6A2E0D06,Safari
Weight,weight,The material feels durable and the weight is very smooth,0.0,RELRQVSLWF90KM,BD6A2E0D06,Safari
Lock,lock,The lock is even better than my previous bag,0.4404,RY9V20YAR821UZ,BD6A2E0D06,Safari
Weight,weight,Good value and the weight is top notch,0.7269,R8DALFYO1750CE,BD6A2E0D06,Safari
Weight,lightweight,Lightweight,0.0,R6MM1ZXYVGIUI9,BD6A2E0D06,Safari
Handle,handle,But I noticed handle durability after a few uses,0.0,R6MM1ZXYVGIUI9,BD6A2E0D06,Safari
Durability,durability,But I noticed handle durability after a few uses,0.0,R6MM1ZXYVGIUI9,BD6A2E0D06,Safari
Material,build,The build quality started fine but degraded,-0.5106,R6MM1ZXYVGIUI9,BD6A2E0D06,Safari
Durability,build quality,The build quality started fine but degraded,-0.5106,R6MM1ZXYVGIUI9,BD6A2E0D06,Safari
Durability,quality,Excellent quality,0.5719,RUT6OM1FB8C7X0,BD6A2E0D06,Safari
Weight,lightweight,Lightweight,0.0,RUT6OM1FB8C7X0,BD6A2E0D06,Safari
Material,build,The build quality impressed me the most,0.4767,RUT6OM1FB8C7X0,BD6A2E0D06,Safari
Durability,build quality,The build quality impressed me the most,0.4767,RUT6OM1FB8C7X0,BD6A2E0D06,Safari
Durability,quality,Average quality,0.0,RB6IIDLRYE89FX,BD6A2E0D06,Safari
Handle,handle,"Affordable price which is nice, but handle durability",0.2263,RB6IIDLRYE89FX,BD6A2E0D06,Safari
Durability,durability,"Affordable price which is nice, but handle durability",0.2263,RB6IIDLRYE89FX,BD6A2E0D06,Safari
Size & Capacity,space,Affordable price and decent space,0.0,RI04B7P47B42G0,BD6A2E0D06,Safari
Wheels,wheels,Really impressed with the wheels,0.5256,RI04B7P47B42G0,BD6A2E0D06,Safari
Weight,lightweight,Lightweight and good value,0.6486,R9TR74QGEFQJG0,BD6A2E0D06,Safari
Handle,handle,Really impressed with the handle,0.5256,R9TR74QGEFQJG0,BD6A2E0D06,Safari
Handle,handle,Good value and the handle is top notch,0.7269,R7ANQJLUUJMIYQ,B8A92F16C3,Safari
Size & Capacity,space,"Affordable price, decent space, and excellent lock",0.5719,RNH8RQ9NZ61231,B8A92F16C3,Safari
Lock,lock,"Affordable price, decent space, and excellent lock",0.5719,RNH8RQ9NZ61231,B8A92F16C3,Safari
Durability,quality,Great quality for the price,0.6249,R6HTF4PYZR6QCE,B8A92F16C3,Safari
Size & Capacity,compartments,The compartments works smoothly,0.0,R6HTF4PYZR6QCE,B8A92F16C3,Safari
Weight,lightweight,Lightweight and easy to maneuver,0.4404,RO30UBMC97C7BO,B8A92F16C3,Safari
Material,build,The build quality makes it very convenient to use,0.0,RO30UBMC97C7BO,B8A92F16C3,Safari
Durability,build quality,The build quality makes it very convenient to use,0.0,RO30UBMC97C7BO,B8A92F16C3,Safari
Durability,quality,Excellent quality,0.5719,RYXTXMGTT0IAAK,B8A92F16C3,Safari
Size & Capacity,space,Decent space,0.0,RYXTXMGTT0IAAK,B8A92F16C3,Safari
Weight,weight,The weight is even better than my previous bag,0.4404,RYXTXMGTT0IAAK,B8A92F16C3,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RMJ70E3P15AHDB,B8A92F16C3,Safari
Weight,weight,The weight deserves special mention,0.4019,RMJ70E3P15AHDB,B8A92F16C3,Safari
Material,build,"The build quality is good, Good value",0.802,RSK30LVYLKFXHK,B8A92F16C3,Safari
Durability,build quality,"The build quality is good, Good value",0.802,RSK30LVYLKFXHK,B8A92F16C3,Safari
Size & Capacity,packing,Packing was easy due to the spacious compartments,0.4404,RSK30LVYLKFXHK,B8A92F16C3,Safari
Material,build,The build quality is excellent,0.5719,RSK30LVYLKFXHK,B8A92F16C3,Safari
Durability,build quality,The build quality is excellent,0.5719,RSK30LVYLKFXHK,B8A92F16C3,Safari
Size & Capacity,space,Decent space and easy to maneuver,0.4404,RBMXNSZOKGTII4,B8A92F16C3,Safari
Zipper,zipper,The zipper makes it very convenient to use,0.0,RBMXNSZOKGTII4,B8A92F16C3,Safari
Zipper,zip quality,But I noticed zip quality after a few uses,0.0,RLCQNT3BNVBC2V,B8A92F16C3,Safari
Durability,quality,But I noticed zip quality after a few uses,0.0,RLCQNT3BNVBC2V,B8A92F16C3,Safari
Zipper,zipper,The zipper started fine but degraded,-0.5106,RLCQNT3BNVBC2V,B8A92F16C3,Safari
Durability,sturdy,Looks premium and feels sturdy,0.0,R8E9RIVH6T1NTM,B8A92F16C3,Safari
Size & Capacity,compartments,The compartments quality is really good for this price range,0.4927,R8E9RIVH6T1NTM,B8A92F16C3,Safari
Durability,quality,The compartments quality is really good for this price range,0.4927,R8E9RIVH6T1NTM,B8A92F16C3,Safari
Durability,quality,Mediocre quality,0.0,ROUHFJ7UPFLN4R,B8A92F16C3,Safari
Zipper,zip quality,Product looks good but zip quality,0.2382,ROUHFJ7UPFLN4R,B8A92F16C3,Safari
Durability,quality,Product looks good but zip quality,0.2382,ROUHFJ7UPFLN4R,B8A92F16C3,Safari
Durability,quality,Usable but don't expect premium quality at this price,0.0,ROUHFJ7UPFLN4R,B8A92F16C3,Safari
Zipper,zipper,"Lightweight, affordable price, and excellent zipper",0.5719,RZR7TXCB48Y1O4,BCF28C6B65,Safari
Weight,lightweight,"Lightweight, affordable price, and excellent zipper",0.5719,RZR7TXCB48Y1O4,BCF28C6B65,Safari
Size & Capacity,fits,Fits all airline requirements,0.0,RATOAZTKSZP7G7,BCF28C6B65,Safari
Size & Capacity,space,Decent space,0.0,RATOAZTKSZP7G7,BCF28C6B65,Safari
Wheels,wheels,wheels is of great quality,0.6249,RATOAZTKSZP7G7,BCF28C6B65,Safari
Durability,quality,wheels is of great quality,0.6249,RATOAZTKSZP7G7,BCF28C6B65,Safari
Weight,lightweight,Lightweight,0.0,RC8QIZK3C9XBON,BCF28C6B65,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RC8QIZK3C9XBON,BCF28C6B65,Safari
Lock,lock,The lock deserves special mention,0.4019,RC8QIZK3C9XBON,BCF28C6B65,Safari
Durability,quality,Excellent quality,0.5719,R67I6YUJ7YKTXG,BCF28C6B65,Safari
