product_id,brand,title,price,list_price,discount_pct,rating,review_count,category,size,url
BEEAC52961,American Tourister,American Tourister Linex Polypropylene Cabin,8299,11199,25.9,4.5,34,Cabin,55cm,https://www.amazon.in/dp/BEEAC52961
BFB409FDA5,VIP,VIP Outline 4W Cabin Trolley Bag,3349,4599,27.2,3.6,224,Cabin,55cm,https://www.amazon.in/dp/BFB409FDA5
BC7C7CF70F,VIP,VIP Zest Polycarbonate Hardside Medium,3999,5699,29.8,4.0,74,Medium,66cm,https://www.amazon.in/dp/BC7C7CF70F
BF71293BB8,VIP,VIP Xion Polycarbonate Hardshell Large,3400,4799,29.2,4.1,29,Large,75cm,https://www.amazon.in/dp/BF71293BB8
B43D1B648A,VIP,VIP Polaris Spinner Trolley Bag,5049,6399,21.1,3.6,46,Cabin,55cm,https://www.amazon.in/dp/B43D1B648A
B8A987173E,VIP,VIP Rush Polypropylene Hardsided Spinner,1599,1999,20.0,3.8,141,Medium,66cm,https://www.amazon.in/dp/B8A987173E
B410407D7D,VIP,VIP Drift Softside Cabin Luggage,3399,5199,34.6,4.0,40,Cabin,55cm,https://www.amazon.in/dp/B410407D7D
B3FF5E6DD0,VIP,VIP Pioneer Spinner Medium,1549,2299,32.6,3.7,137,Medium,67cm,https://www.amazon.in/dp/B3FF5E6DD0
BED2962697,VIP,VIP Zeal Polycarbonate Cabin 4W,1500,1899,21.0,3.7,19,Cabin,55cm,https://www.amazon.in/dp/BED2962697
B058CA466A,VIP,VIP Experia Hardsided Large Trolley,4949,6299,21.4,3.6,36,Large,76cm,https://www.amazon.in/dp/B058CA466A
B1BF83D3D2,VIP,VIP Track Polypropylene Spinner Set,2299,2899,20.7,3.7,68,Set,55+66+76cm,https://www.amazon.in/dp/B1BF83D3D2
B145916CFD,VIP,VIP Tide Cabin Trolley Bag,5399,7099,23.9,4.0,141,Cabin,55cm,https://www.amazon.in/dp/B145916CFD
BEEDDE4936,Aristocrat,Aristocrat Aston Polycarbonate Cabin Trolley,2149,2799,23.2,3.8,167,Cabin,55cm,https://www.amazon.in/dp/BEEDDE4936
B942B5AE28,Aristocrat,Aristocrat Harbour Medium Trolley Bag,2600,3299,21.2,3.9,244,Medium,65cm,https://www.amazon.in/dp/B942B5AE28
BB53BAB1B9,Aristocrat,Aristocrat Jude Polypropylene Large,2399,3499,31.4,3.5,195,Large,75cm,https://www.amazon.in/dp/BB53BAB1B9
BA5DCD1573,Aristocrat,Aristocrat Vigour Hardside Cabin 4W,3800,5499,30.9,3.6,99,Cabin,55cm,https://www.amazon.in/dp/BA5DCD1573
BBEC5594B1,Aristocrat,Aristocrat Crystal Spinner Medium,1399,1899,26.3,3.8,74,Medium,66cm,https://www.amazon.in/dp/BBEC5594B1
B91640B2DE,Aristocrat,Aristocrat Air Pro Cabin Trolley,3799,4799,20.8,3.5,187,Cabin,55cm,https://www.amazon.in/dp/B91640B2DE
B783A0E9E3,Aristocrat,Aristocrat Flow Softside Spinner Medium,1549,2099,26.2,3.8,57,Medium,66cm,https://www.amazon.in/dp/B783A0E9E3
B46A7BE6E5,Aristocrat,Aristocrat Photon Strolly Large,1699,2699,37.1,3.4,62,Large,76cm,https://www.amazon.in/dp/B46A7BE6E5
B2FF044EE5,Aristocrat,Aristocrat Warrior Hardcase Cabin,3299,4799,31.3,3.8,56,Cabin,55cm,https://www.amazon.in/dp/B2FF044EE5
B983261431,Aristocrat,Aristocrat Cargo Max Trolley Set,3099,3999,22.5,3.9,39,Set,55+66cm,https://www.amazon.in/dp/B983261431
B4A671E0A4,Aristocrat,Aristocrat Spark Polycarbonate Cabin,3100,4799,35.4,3.9,85,Cabin,55cm,https://www.amazon.in/dp/B4A671E0A4
BD5CF69178,Nasher Miles,Nasher Miles Lombard Hard-Sided Cabin Luggage,7000,10199,31.4,4.4,81,Cabin,55cm,https://www.amazon.in/dp/BD5CF69178
BDFFD1D48B,Nasher Miles,Nasher Miles Wall Street Hard-Sided Medium,5699,8999,36.7,4.1,65,Medium,65cm,https://www.amazon.in/dp/BDFFD1D48B
B65D869BAB,Nasher Miles,Nasher Miles Times Square Hardside Large,7099,10299,31.1,3.9,179,Large,75cm,https://www.amazon.in/dp/B65D869BAB
B3F64DDF09,Nasher Miles,Nasher Miles Fifth Avenue Polycarbonate Cabin,8299,12199,32.0,3.9,156,Cabin,55cm,https://www.amazon.in/dp/B3F64DDF09
B33DCEF80F,Nasher Miles,Nasher Miles Park Avenue Spinner Medium,4299,7399,41.9,4.3,145,Medium,67cm,https://www.amazon.in/dp/B33DCEF80F
B113DB3A12,Nasher Miles,Nasher Miles Broadway Hardcase Large,4300,5899,27.1,4.4,24,Large,76cm,https://www.amazon.in/dp/B113DB3A12
B17C9B6D0C,Nasher Miles,Nasher Miles Oxford Cabin Trolley 4W,4399,6699,34.3,4.2,172,Cabin,55cm,https://www.amazon.in/dp/B17C9B6D0C
B317B03B9C,Nasher Miles,Nasher Miles Bond Street Polycarbonate Medium,8100,13399,39.5,3.8,110,Medium,66cm,https://www.amazon.in/dp/B317B03B9C
BA201722F9,Nasher Miles,Nasher Miles Soho Hardside Cabin Spinner,3099,4699,34.0,4.3,247,Cabin,55cm,https://www.amazon.in/dp/BA201722F9
BA83D90250,Nasher Miles,Nasher Miles Central Park Trolley Set,5099,6899,26.1,4.3,67,Set,55+66+76cm,https://www.amazon.in/dp/BA83D90250
B588869907,Nasher Miles,Nasher Miles Hudson Polycarbonate Large,3999,6899,42.0,4.3,61,Large,78cm,https://www.amazon.in/dp/B588869907
