product_id,brand,title,price,list_price,discount_pct,rating,review_count_x,category,size,url,price_band,avg_sentiment,review_count_y,norm_price,norm_sentiment,norm_rating,vfm_score,vfm_rank,vfm_label
BCF28C6B65,Safari,Safari Pentagon 4W Spinner Medium,4499,6999,35.7,4.0,153,Medium,67cm,https://www.amazon.in/dp/BCF28C6B65,Mid-Range,0.696825,12,0.27310369130473083,0.7182906998561509,0.28571428571428575,1.345,35,Good Value
BE0EA7367F,Safari,Safari Thorium Printed Hardside Cabin,2799,3899,28.2,3.8,32,Cabin,55cm,https://www.amazon.in/dp/BE0EA7367F,Mid-Range,0.7706666666666667,6,0.12333715091181394,0.8568390768653448,0.19047619047619044,2.345,15,Excellent Value
B91271AA5C,Skybags,Skybags Neo Strolly Cabin Luggage,4800,6799,29.4,3.8,121,Cabin,55cm,https://www.amazon.in/dp/B91271AA5C,Mid-Range,0.6464857142857143,7,0.2996211787507709,0.6238396040134735,0.19047619047619044,1.019,49,Good Value
B590634F3D,Skybags,Skybags Trooper Polycarbonate Hardsided Suitcase,6000,7399,18.9,4.2,61,Medium,65cm,https://www.amazon.in/dp/B590634F3D,Premium,0.74542,5,0.4053387366751828,0.8094690099443365,0.38095238095238104,1.178,41,Good Value
BE9AACBA56,Skybags,Skybags Cube 4W Spinner Large,2099,2699,22.2,4.0,89,Large,75cm,https://www.amazon.in/dp/BE9AACBA56,Budget,0.7633666666666667,9,0.06166857545590697,0.8431421602351616,0.28571428571428575,3.491,5,Excellent Value
B6E6D088C5,Skybags,Skybags Zoom Ultra Trolley Bag,4699,5799,19.0,4.1,120,Cabin,55cm,https://www.amazon.in/dp/B6E6D088C5,Mid-Range,0.7541571428571429,7,0.29072328429213284,0.825862423273143,0.3333333333333332,1.483,32,Good Value
BA614F2B42,Skybags,Skybags Stream Polycarbonate Hardcase,2200,3099,29.0,4.0,215,Medium,67cm,https://www.amazon.in/dp/BA614F2B42,Budget,0.7406357142857143,14,0.07056646991454497,0.8004923027438504,0.28571428571428575,3.184,8,Excellent Value
BCFDA48FA6,Skybags,Skybags Beach 4 Wheel Trolley Bag,5199,7199,27.8,4.0,47,Cabin,55cm,https://www.amazon.in/dp/BCFDA48FA6,Premium,0.7685285714285713,7,0.3347722667606378,0.8528273902593744,0.28571428571428575,1.309,37,Good Value
B656A00C3F,Skybags,Skybags Sonic Strolly Hardcase Luggage,2449,3699,33.8,3.9,195,Large,78cm,https://www.amazon.in/dp/B656A00C3F,Budget,0.52825,14,0.09250286318386046,0.4019951216461316,0.23809523809523808,1.663,29,Good Value
B04E7EBCC4,Skybags,Skybags Ramp Cabin Polycarbonate Spinner,3200,4499,28.9,4.2,76,Cabin,55cm,https://www.amazon.in/dp/B04E7EBCC4,Mid-Range,0.7193090909090909,11,0.15866443485155493,0.7604773736489289,0.38095238095238104,2.206,17,Excellent Value
B9115C8EF5,Skybags,Skybags Trick 4W Strolly Medium,2749,3799,27.6,4.1,26,Medium,66cm,https://www.amazon.in/dp/B9115C8EF5,Mid-Range,0.7995333333333333,6,0.11893225266496343,0.9110013134029643,0.3333333333333332,2.842,12,Excellent Value
BC37D84A76,Skybags,Skybags Majestic Softsided Trolley Set,6499,8899,27.0,3.9,134,Set,55+66cm,https://www.amazon.in/dp/BC37D84A76,Premium,0.7293533333333334,15,0.4492996211787508,0.7793232847582713,0.23809523809523808,0.926,54,Below Average Value
BD33B5463E,Skybags,Skybags Flashy Polycarbonate Cabin,6499,8299,21.7,4.1,78,Cabin,55cm,https://www.amazon.in/dp/BD33B5463E,Premium,0.7136615384615385,13,0.4492996211787508,0.7498809277532147,0.3333333333333332,0.986,52,Good Value
B123E4A758,American Tourister,American Tourister Ivy Polypropylene Hardside Cabin,12349,17599,29.8,4.1,126,Cabin,55cm,https://www.amazon.in/dp/B123E4A758,Premium,0.7163357142857143,14,0.9646727160602591,0.7548984569748843,0.3333333333333332,0.511,66,Below Average Value
B630890FAD,American Tourister,American Tourister Liftoff Spinner Medium,11149,15699,29.0,4.4,82,Medium,68cm,https://www.amazon.in/dp/B630890FAD,Premium,0.7982555555555556,9,0.8589551581358471,0.9086038318010298,0.4761904761904764,0.722,58,Below Average Value
BE8E47B1D7,American Tourister,American Tourister Stratos Polycarbonate Hardshell,8299,11799,29.7,4.2,68,Large,77cm,https://www.amazon.in/dp/BE8E47B1D7,Premium,0.8154250000000001,8,0.6078759580653686,0.9408186878478952,0.38095238095238104,0.934,53,Below Average Value
B751A278E1,American Tourister,American Tourister Instagon Spinner Trolley Bag,12749,20899,39.0,4.3,29,Cabin,55cm,https://www.amazon.in/dp/B751A278E1,Premium,0.8469666666666668,6,0.999911902035063,1.0,0.4285714285714285,0.649,60,Below Average Value
B548BF203F,American Tourister,American Tourister Kamiliant Zakk Spinner,12699,20099,36.8,4.0,188,Medium,68cm,https://www.amazon.in/dp/B548BF203F,Premium,0.6981833333333333,12,0.9955070037882124,0.7208393270373379,0.28571428571428575,0.459,68,Below Average Value
BD6581E74E,American Tourister,American Tourister Splash Voyage Hardside,7749,9999,22.5,4.4,157,Cabin,55cm,https://www.amazon.in/dp/BD6581E74E,Premium,0.7854749999999999,8,0.5594220773500133,0.8846238038651569,0.4761904761904764,1.032,48,Good Value
BFAEB1981C,American Tourister,American Tourister Cascade Spinner Large,3949,5499,28.2,4.4,66,Large,76cm,https://www.amazon.in/dp/BFAEB1981C,Mid-Range,0.8188142857142857,7,0.2246498105893754,0.9471779705690516,0.4761904761904764,2.192,18,Excellent Value
B6E62FFB78,American Tourister,American Tourister Speedair Cabin 4W,11099,15699,29.3,4.2,88,Cabin,55cm,https://www.amazon.in/dp/B6E62FFB78,Premium,0.7399666666666666,15,0.8545502598889966,0.7992369754206012,0.38095238095238104,0.618,63,Below Average Value
BC16645A77,American Tourister,American Tourister Jamaica Polypropylene Medium,6099,9699,37.1,4.0,84,Medium,66cm,https://www.amazon.in/dp/BC16645A77,Premium,0.7646909090909091,11,0.4140604352039468,0.8456268229862574,0.28571428571428575,1.1,44,Good Value
B4693BD9F6,American Tourister,American Tourister Mighty Maze Spinner,5449,8399,35.1,4.1,157,Cabin,55cm,https://www.amazon.in/dp/B4693BD9F6,Premium,0.7281875,8,0.3567967579948903,0.777135843392332,0.3333333333333332,1.215,40,Good Value
BAF58A1206,American Tourister,American Tourister Ga0 Armor Trolley Set,10199,16799,39.3,4.4,118,Set,55+68cm,https://www.amazon.in/dp/BAF58A1206,Premium,0.71975,6,0.7752620914456876,0.7613046469447743,0.4761904761904764,0.707,59,Below Average Value
B6C585D0E9,American Tourister,American Tourister Fornax Spinner Hard Body,7099,9899,28.3,4.2,146,Large,77cm,https://www.amazon.in/dp/B6C585D0E9,Premium,0.75018,10,0.5021584001409567,0.8184001501031957,0.38095238095238104,0.996,51,Good Value
BEEAC52961,American Tourister,American Tourister Linex Polypropylene Cabin,8299,11199,25.9,4.5,34,Cabin,55cm,https://www.amazon.in/dp/BEEAC52961,Premium,0.80144,10,0.6078759580653686,0.9145787729063729,0.5238095238095238,1.016,50,Good Value
BFB409FDA5,VIP,VIP Outline 4W Cabin Trolley Bag,3349,4599,27.2,3.6,224,Cabin,55cm,https://www.amazon.in/dp/BFB409FDA5,Mid-Range,0.44059166666666666,12,0.1717910316271694,0.23752267183688777,0.09523809523809532,0.612,64,Below Average Value
BC7C7CF70F,VIP,VIP Zest Polycarbonate Hardside Medium,3999,5699,29.8,4.0,74,Medium,66cm,https://www.amazon.in/dp/BC7C7CF70F,Mid-Range,0.7914428571428571,7,0.2290547088362259,0.8958212342413978,0.28571428571428575,1.795,25,Good Value
BF71293BB8,VIP,VIP Xion Polycarbonate Hardshell Large,3400,4799,29.2,4.1,29,Large,75cm,https://www.amazon.in/dp/BF71293BB8,Mid-Range,0.5277000000000001,8,0.1762840278389569,0.40096316217399464,0.3333333333333332,1.329,36,Good Value
B43D1B648A,VIP,VIP Polaris Spinner Trolley Bag,5049,6399,21.1,3.6,46,Cabin,55cm,https://www.amazon.in/dp/B43D1B648A,Premium,0.4825,7,0.32155757202008634,0.31615485646381875,0.09523809523809532,0.488,67,Below Average Value
B8A987173E,VIP,VIP Rush Polypropylene Hardsided Spinner,1599,1999,20.0,3.8,141,Medium,66cm,https://www.amazon.in/dp/B8A987173E,Budget,0.6925545454545454,11,0.01761959298740199,0.7102780889134004,0.19047619047619044,3.829,3,Excellent Value
B410407D7D,VIP,VIP Drift Softside Cabin Luggage,3399,5199,34.6,4.0,40,Cabin,55cm,https://www.amazon.in/dp/B410407D7D,Mid-Range,0.7171333333333334,6,0.1761959298740199,0.7563950215773343,0.28571428571428575,1.887,22,Good Value
B3FF5E6DD0,VIP,VIP Pioneer Spinner Medium,1549,2299,32.6,3.7,137,Medium,67cm,https://www.amazon.in/dp/B3FF5E6DD0,Budget,0.70205,12,0.013214694740551492,0.7280943148414533,0.142857142857143,3.846,2,Excellent Value
BED2962697,VIP,VIP Zeal Polycarbonate Cabin 4W,1500,1899,21.0,3.7,19,Cabin,55cm,https://www.amazon.in/dp/BED2962697,Budget,0.5599333333333333,6,0.008897894458638006,0.4614422415410593,0.142857142857143,2.775,13,Excellent Value
B058CA466A,VIP,VIP Experia Hardsided Large Trolley,4949,6299,21.4,3.6,36,Large,76cm,https://www.amazon.in/dp/B058CA466A,Mid-Range,0.7278428571428571,7,0.31274777552638533,0.776489193463363,0.09523809523809532,1.056,46,Good Value
B1BF83D3D2,VIP,VIP Track Polypropylene Spinner Set,2299,2899,20.7,3.7,68,Set,55+66+76cm,https://www.amazon.in/dp/B1BF83D3D2,Budget,0.4988111111111111,9,0.07928816844330897,0.34675923030416733,0.142857142857143,1.365,34,Good Value
B145916CFD,VIP,VIP Tide Cabin Trolley Bag,5399,7099,23.9,4.0,141,Cabin,55cm,https://www.amazon.in/dp/B145916CFD,Premium,0.7262416666666667,12,0.3523918597480398,0.7734848958659076,0.28571428571428575,1.171,42,Good Value
BEEDDE4936,Aristocrat,Aristocrat Aston Polycarbonate Cabin Trolley,2149,2799,23.2,3.8,167,Cabin,55cm,https://www.amazon.in/dp/BEEDDE4936,Budget,0.75887,10,0.06607347370275747,0.8347051097629619,0.19047619047619044,3.087,10,Excellent Value
B942B5AE28,Aristocrat,Aristocrat Harbour Medium Trolley Bag,2600,3299,21.2,3.9,244,Medium,65cm,https://www.amazon.in/dp/B942B5AE28,Mid-Range,0.35250714285714285,14,0.10580565588934895,0.07225056512066329,0.23809523809523808,0.754,56,Below Average Value
BB53BAB1B9,Aristocrat,Aristocrat Jude Polypropylene Large,2399,3499,31.4,3.5,195,Large,75cm,https://www.amazon.in/dp/BB53BAB1B9,Budget,0.41388461538461535,13,0.08809796493700996,0.1874124999398624,0.04761904761904766,0.625,62,Below Average Value
BA5DCD1573,Aristocrat,Aristocrat Vigour Hardside Cabin 4W,3800,5499,30.9,3.6,99,Cabin,55cm,https://www.amazon.in/dp/BA5DCD1573,Mid-Range,0.4662,8,0.2115232138137609,0.285571330289574,0.09523809523809532,0.611,65,Below Average Value
BBEC5594B1,Aristocrat,Aristocrat Crystal Spinner Medium,1399,1899,26.3,3.8,74,Medium,66cm,https://www.amazon.in/dp/BBEC5594B1,Budget,0.5184624999999999,8,0.0,0.38363093376696455,0.19047619047619044,2.871,11,Excellent Value
B91640B2DE,Aristocrat,Aristocrat Air Pro Cabin Trolley,3799,4799,20.8,3.5,187,Cabin,55cm,https://www.amazon.in/dp/B91640B2DE,Mid-Range,0.314,12,0.21143511584882388,0.0,0.04761904761904766,0.076,69,Below Average Value
B783A0E9E3,Aristocrat,Aristocrat Flow Softside Spinner Medium,1549,2099,26.2,3.8,57,Medium,66cm,https://www.amazon.in/dp/B783A0E9E3,Budget,0.6380875,8,0.013214694740551492,0.6080821189567827,0.19047619047619044,3.527,4,Excellent Value
B46A7BE6E5,Aristocrat,Aristocrat Photon Strolly Large,1699,2699,37.1,3.4,62,Large,76cm,https://www.amazon.in/dp/B46A7BE6E5,Budget,0.50971,10,0.026429389481102985,0.3672087059853648,0.0,1.452,33,Good Value
B2FF044EE5,Aristocrat,Aristocrat Warrior Hardcase Cabin,3299,4799,31.3,3.8,56,Cabin,55cm,https://www.amazon.in/dp/B2FF044EE5,Mid-Range,0.7053200000000001,5,0.1673861333803189,0.7342297829757958,0.19047619047619044,1.729,26,Good Value
B983261431,Aristocrat,Aristocrat Cargo Max Trolley Set,3099,3999,22.5,3.9,39,Set,55+66cm,https://www.amazon.in/dp/B983261431,Mid-Range,0.6330857142857143,7,0.14976654039291692,0.598697318692315,0.23809523809523808,1.675,28,Good Value
B4A671E0A4,Aristocrat,Aristocrat Spark Polycarbonate Cabin,3100,4799,35.4,3.9,85,Cabin,55cm,https://www.amazon.in/dp/B4A671E0A4,Mid-Range,0.5117333333333334,9,0.14985463835785393,0.3710050659828632,0.23809523809523808,1.219,39,Good Value
BD5CF69178,Nasher Miles,Nasher Miles Lombard Hard-Sided Cabin Luggage,7000,10199,31.4,4.4,81,Cabin,55cm,https://www.amazon.in/dp/BD5CF69178,Premium,0.7143727272727273,11,0.4934367016121928,0.7512153241717315,0.4761904761904764,1.034,47,Good Value
BDFFD1D48B,Nasher Miles,Nasher Miles Wall Street Hard-Sided Medium,5699,8999,36.7,4.1,65,Medium,65cm,https://www.amazon.in/dp/BDFFD1D48B,Premium,0.7590538461538461,13,0.3788212492291428,0.8350500584536481,0.3333333333333332,1.22,38,Good Value
B65D869BAB,Nasher Miles,Nasher Miles Times Square Hardside Large,7099,10299,31.1,3.9,179,Large,75cm,https://www.amazon.in/dp/B65D869BAB,Premium,0.6665545454545455,11,0.5021584001409567,0.6614945502305561,0.23809523809523808,0.747,57,Below Average Value
B3F64DDF09,Nasher Miles,Nasher Miles Fifth Avenue Polycarbonate Cabin,8299,12199,32.0,3.9,156,Cabin,55cm,https://www.amazon.in/dp/B3F64DDF09,Premium,0.6673555555555555,9,0.6078759580653686,0.6629974774324011,0.23809523809523808,0.636,61,Below Average Value
B33DCEF80F,Nasher Miles,Nasher Miles Park Avenue Spinner Medium,4299,7399,41.9,4.3,145,Medium,67cm,https://www.amazon.in/dp/B33DCEF80F,Mid-Range,0.81006,15,0.2554840983173289,0.9307523922696852,0.4285714285714285,1.912,21,Good Value
B113DB3A12,Nasher Miles,Nasher Miles Broadway Hardcase Large,4300,5899,27.1,4.4,24,Large,76cm,https://www.amazon.in/dp/B113DB3A12,Mid-Range,0.7545666666666667,6,0.2555721962822659,0.826630808680968,0.4761904761904764,1.832,24,Good Value
B17C9B6D0C,Nasher Miles,Nasher Miles Oxford Cabin Trolley 4W,4399,6699,34.3,4.2,172,Cabin,55cm,https://www.amazon.in/dp/B17C9B6D0C,Mid-Range,0.7007666666666666,15,0.2642938948110299,0.7256864094064667,0.38095238095238104,1.519,31,Good Value
B317B03B9C,Nasher Miles,Nasher Miles Bond Street Polycarbonate Medium,8100,13399,39.5,3.8,110,Medium,66cm,https://www.amazon.in/dp/B317B03B9C,Premium,0.7778933333333333,15,0.5903444630429037,0.870398398899243,0.19047619047619044,0.768,55,Below Average Value
BA201722F9,Nasher Miles,Nasher Miles Soho Hardside Cabin Spinner,3099,4699,34.0,4.3,247,Cabin,55cm,https://www.amazon.in/dp/BA201722F9,Mid-Range,0.7694,15,0.14976654039291692,0.8544624429295138,0.4285714285714285,2.568,14,Excellent Value
BA83D90250,Nasher Miles,Nasher Miles Central Park Trolley Set,5099,6899,26.1,4.3,67,Set,55+66+76cm,https://www.amazon.in/dp/BA83D90250,Premium,0.77764,10,0.3259624702669368,0.8699230721120768,0.4285714285714285,1.524,30,Good Value
B588869907,Nasher Miles,Nasher Miles Hudson Polycarbonate Large,3999,6899,42.0,4.3,61,Large,78cm,https://www.amazon.in/dp/B588869907,Mid-Range,0.8279099999999999,10,0.2290547088362259,0.964244167865407,0.4285714285714285,2.116,19,Good Value
