product_id,brand,title,review_count,similarity_score,distribution_score,verified_score,length_quality_score,trust_score,trust_level
B3FF5E6DD0,VIP,VIP Pioneer Spinner Medium,12,62.2,80.0,73.3,80.0,73.0,High
BED2962697,VIP,VIP Zeal Polycarbonate Cabin 4W,6,91.1,80.0,100.0,80.0,88.3,High
B058CA466A,VIP,VIP Experia Hardsided Large Trolley,7,85.2,80.0,88.6,80.0,83.7,High
B1BF83D3D2,VIP,VIP Track Polypropylene Spinner Set,9,92.1,70.0,91.1,80.0,84.4,High
B145916CFD,VIP,VIP Tide Cabin Trolley Bag,12,58.5,80.0,93.3,80.0,76.9,High
BEEDDE4936,Aristocrat,Aristocrat Aston Polycarbonate Cabin Trolley,10,60.4,70.0,92.0,80.0,75.1,High
B942B5AE28,Aristocrat,Aristocrat Harbour Medium Trolley Bag,14,88.3,80.0,82.9,80.0,83.2,High
BB53BAB1B9,Aristocrat,Aristocrat Jude Polypropylene Large,13,92.2,80.0,81.5,65.0,80.3,High
BA5DCD1573,Aristocrat,Aristocrat Vigour Hardside Cabin 4W,8,87.9,80.0,90.0,80.0,84.9,High
BBEC5594B1,Aristocrat,Aristocrat Crystal Spinner Medium,8,64.1,80.0,90.0,80.0,77.7,High
B91640B2DE,Aristocrat,Aristocrat Air Pro Cabin Trolley,12,61.4,80.0,93.3,65.0,74.0,High
B783A0E9E3,Aristocrat,Aristocrat Flow Softside Spinner Medium,8,85.4,70.0,100.0,65.0,80.9,High
B46A7BE6E5,Aristocrat,Aristocrat Photon Strolly Large,10,91.5,70.0,84.0,80.0,82.4,High
B2FF044EE5,Aristocrat,Aristocrat Warrior Hardcase Cabin,5,93.2,70.0,100.0,80.0,86.9,High
B983261431,Aristocrat,Aristocrat Cargo Max Trolley Set,7,91.3,80.0,88.6,80.0,85.5,High
B4A671E0A4,Aristocrat,Aristocrat Spark Polycarbonate Cabin,9,64.2,70.0,100.0,80.0,78.3,High
BD5CF69178,Nasher Miles,Nasher Miles Lombard Hard-Sided Cabin Luggage,11,61.4,70.0,85.5,80.0,73.8,High
BDFFD1D48B,Nasher Miles,Nasher Miles Wall Street Hard-Sided Medium,13,61.4,70.0,100.0,80.0,77.4,High
B65D869BAB,Nasher Miles,Nasher Miles Times Square Hardside Large,11,86.2,70.0,78.2,80.0,79.4,High
B3F64DDF09,Nasher Miles,Nasher Miles Fifth Avenue Polycarbonate Cabin,9,57.2,70.0,91.1,80.0,73.9,High
B33DCEF80F,Nasher Miles,Nasher Miles Park Avenue Spinner Medium,15,59.4,70.0,89.3,80.0,74.2,High
B113DB3A12,Nasher Miles,Nasher Miles Broadway Hardcase Large,6,81.9,60.0,86.7,80.0,78.2,High
B17C9B6D0C,Nasher Miles,Nasher Miles Oxford Cabin Trolley 4W,15,59.9,60.0,84.0,80.0,71.0,High
B317B03B9C,Nasher Miles,Nasher Miles Bond Street Polycarbonate Medium,15,57.5,60.0,84.0,80.0,70.3,High
BA201722F9,Nasher Miles,Nasher Miles Soho Hardside Cabin Spinner,15,55.2,70.0,94.7,80.0,74.2,High
BA83D90250,Nasher Miles,Nasher Miles Central Park Trolley Set,10,83.9,80.0,92.0,80.0,84.2,High
B588869907,Nasher Miles,Nasher Miles Hudson Polycarbonate Large,10,54.9,70.0,84.0,80.0,71.5,High
